customer_id,customer_name,email,city,state,signup_date
1,Customer_1,customer1@example.com,Mumbai,Delhi,2023-10-09
2,Customer_2,customer2@example.com,Hyderabad,Telangana,2023-05-23
3,Customer_3,customer3@example.com,Mumbai,West Bengal,2023-03-31
4,Customer_4,customer4@example.com,Ahmedabad,Rajasthan,2023-02-02
5,Customer_5,customer5@example.com,Delhi,Maharashtra,2023-08-12
6,Customer_6,customer6@example.com,Hyderabad,West Bengal,2024-09-08
7,Customer_7,customer7@example.com,Delhi,West Bengal,2023-07-23
8,Customer_8,customer8@example.com,Kolkata,Rajasthan,2023-08-14
9,Customer_9,customer9@example.com,Lucknow,Gujarat,2023-10-12
10,Customer_10,customer10@example.com,Delhi,Karnataka,2024-03-08
11,Customer_11,customer11@example.com,Pune,Tamil Nadu,2023-06-09
12,Customer_12,customer12@example.com,Hyderabad,Maharashtra,2023-04-15
13,Customer_13,customer13@example.com,Mumbai,Rajasthan,2023-04-10
14,Customer_14,customer14@example.com,Pune,Maharashtra,2024-09-10
15,Customer_15,customer15@example.com,Chennai,Delhi,2024-04-15
16,Customer_16,customer16@example.com,Kolkata,Maharashtra,2024-01-23
17,Customer_17,customer17@example.com,Mumbai,West Bengal,2023-10-28
18,Customer_18,customer18@example.com,Ahmedabad,Maharashtra,2024-08-14
19,Customer_19,customer19@example.com,Hyderabad,Maharashtra,2023-02-16
20,Customer_20,customer20@example.com,Hyderabad,Tamil Nadu,2023-03-23
21,Customer_21,customer21@example.com,Hyderabad,Maharashtra,2024-01-25
22,Customer_22,customer22@example.com,Chennai,Uttar Pradesh,2024-10-12
23,Customer_23,customer23@example.com,Pune,Karnataka,2024-01-15
24,Customer_24,customer24@example.com,Pune,Telangana,2024-11-17
25,Customer_25,customer25@example.com,Chennai,Maharashtra,2024-09-15
26,Customer_26,customer26@example.com,Bengaluru,West Bengal,2023-09-08
27,Customer_27,customer27@example.com,Bengaluru,Uttar Pradesh,2024-01-24
28,Customer_28,customer28@example.com,Chennai,West Bengal,2023-08-13
29,Customer_29,customer29@example.com,Pune,Delhi,2023-08-23
30,Customer_30,customer30@example.com,Delhi,Maharashtra,2024-02-15
31,Customer_31,customer31@example.com,Chennai,Maharashtra,2023-08-05
32,Customer_32,customer32@example.com,Ahmedabad,Maharashtra,2023-08-06
33,Customer_33,customer33@example.com,Lucknow,Rajasthan,2024-10-20
34,Customer_34,customer34@example.com,Lucknow,Karnataka,2023-09-29
35,Customer_35,customer35@example.com,Bengaluru,Telangana,2024-07-28
36,Customer_36,customer36@example.com,Kolkata,Tamil Nadu,2024-08-21
37,Customer_37,customer37@example.com,Jaipur,Gujarat,2024-02-13
38,Customer_38,customer38@example.com,Pune,Telangana,2023-05-22
39,Customer_39,customer39@example.com,Kolkata,Uttar Pradesh,2023-04-04
40,Customer_40,customer40@example.com,Delhi,Maharashtra,2023-06-06
41,Customer_41,customer41@example.com,Bengaluru,Rajasthan,2024-09-02
